"site","year"
"LTER1","2006"
"LTER1","2007"
"LTER1","2008"
"LTER1","2009"
"LTER1","2010"
"LTER1","2011"
"LTER1","2012"
"LTER1","2013"
"LTER1","2014"
"LTER1","2015"
"LTER1","2016"
"LTER1","2017"
"LTER1","2018"
"LTER1","2019"
"LTER1","2020"
"LTER1","2021"
"LTER1","2022"
"LTER1","2023"
"LTER1","2024"
"LTER1","2006"
"LTER1","2007"
"LTER1","2008"
"LTER1","2009"
"LTER1","2010"
"LTER1","2011"
"LTER1","2012"
"LTER1","2013"
"LTER1","2014"
"LTER1","2015"
"LTER1","2016"
"LTER1","2017"
"LTER1","2018"
"LTER1","2019"
"LTER1","2020"
"LTER1","2021"
"LTER1","2022"
"LTER1","2023"
"LTER1","2024"
"LTER1","2006"
"LTER1","2007"
"LTER1","2008"
"LTER1","2009"
"LTER1","2010"
"LTER1","2011"
"LTER1","2012"
"LTER1","2013"
"LTER1","2014"
"LTER1","2015"
"LTER1","2016"
"LTER1","2017"
"LTER1","2018"
"LTER1","2019"
"LTER1","2020"
"LTER1","2021"
"LTER1","2022"
"LTER1","2023"
"LTER1","2024"
"LTER2","2006"
"LTER2","2007"
"LTER2","2008"
"LTER2","2009"
"LTER2","2010"
"LTER2","2011"
"LTER2","2012"
"LTER2","2013"
"LTER2","2014"
"LTER2","2015"
"LTER2","2016"
"LTER2","2017"
"LTER2","2018"
"LTER2","2019"
"LTER2","2020"
"LTER2","2021"
"LTER2","2022"
"LTER2","2023"
"LTER2","2024"
"LTER2","2006"
"LTER2","2007"
"LTER2","2008"
"LTER2","2009"
"LTER2","2010"
"LTER2","2011"
"LTER2","2012"
"LTER2","2013"
"LTER2","2014"
"LTER2","2015"
"LTER2","2016"
"LTER2","2017"
"LTER2","2018"
"LTER2","2019"
"LTER2","2020"
"LTER2","2021"
"LTER2","2022"
"LTER2","2023"
"LTER2","2024"
"LTER2","2006"
"LTER2","2007"
"LTER2","2008"
"LTER2","2009"
"LTER2","2010"
"LTER2","2011"
"LTER2","2012"
"LTER2","2013"
"LTER2","2014"
"LTER2","2015"
"LTER2","2016"
"LTER2","2017"
"LTER2","2018"
"LTER2","2019"
"LTER2","2020"
"LTER2","2021"
"LTER2","2022"
"LTER2","2023"
"LTER2","2024"
"LTER3","2006"
"LTER3","2007"
"LTER3","2008"
"LTER3","2009"
"LTER3","2010"
"LTER3","2011"
"LTER3","2012"
"LTER3","2013"
"LTER3","2014"
"LTER3","2015"
"LTER3","2016"
"LTER3","2017"
"LTER3","2018"
"LTER3","2019"
"LTER3","2020"
"LTER3","2021"
"LTER3","2022"
"LTER3","2023"
"LTER3","2024"
"LTER3","2006"
"LTER3","2007"
"LTER3","2008"
"LTER3","2009"
"LTER3","2010"
"LTER3","2011"
"LTER3","2012"
"LTER3","2013"
"LTER3","2014"
"LTER3","2015"
"LTER3","2016"
"LTER3","2017"
"LTER3","2018"
"LTER3","2019"
"LTER3","2020"
"LTER3","2021"
"LTER3","2022"
"LTER3","2023"
"LTER3","2024"
"LTER3","2006"
"LTER3","2007"
"LTER3","2008"
"LTER3","2009"
"LTER3","2010"
"LTER3","2011"
"LTER3","2012"
"LTER3","2013"
"LTER3","2014"
"LTER3","2015"
"LTER3","2016"
"LTER3","2017"
"LTER3","2018"
"LTER3","2019"
"LTER3","2020"
"LTER3","2021"
"LTER3","2022"
"LTER3","2023"
"LTER3","2024"
"LTER4","2006"
"LTER4","2007"
"LTER4","2008"
"LTER4","2009"
"LTER4","2010"
"LTER4","2011"
"LTER4","2012"
"LTER4","2013"
"LTER4","2014"
"LTER4","2015"
"LTER4","2016"
"LTER4","2017"
"LTER4","2018"
"LTER4","2019"
"LTER4","2020"
"LTER4","2021"
"LTER4","2022"
"LTER4","2023"
"LTER4","2024"
"LTER4","2006"
"LTER4","2007"
"LTER4","2008"
"LTER4","2009"
"LTER4","2010"
"LTER4","2011"
"LTER4","2012"
"LTER4","2013"
"LTER4","2014"
"LTER4","2015"
"LTER4","2016"
"LTER4","2017"
"LTER4","2018"
"LTER4","2019"
"LTER4","2020"
"LTER4","2021"
"LTER4","2022"
"LTER4","2023"
"LTER4","2024"
"LTER4","2006"
"LTER4","2007"
"LTER4","2008"
"LTER4","2009"
"LTER4","2010"
"LTER4","2011"
"LTER4","2012"
"LTER4","2013"
"LTER4","2014"
"LTER4","2015"
"LTER4","2016"
"LTER4","2017"
"LTER4","2018"
"LTER4","2019"
"LTER4","2020"
"LTER4","2021"
"LTER4","2022"
"LTER4","2023"
"LTER4","2024"
"LTER5","2006"
"LTER5","2007"
"LTER5","2008"
"LTER5","2009"
"LTER5","2010"
"LTER5","2011"
"LTER5","2012"
"LTER5","2013"
"LTER5","2014"
"LTER5","2015"
"LTER5","2016"
"LTER5","2017"
"LTER5","2018"
"LTER5","2019"
"LTER5","2020"
"LTER5","2021"
"LTER5","2022"
"LTER5","2023"
"LTER5","2024"
"LTER5","2006"
"LTER5","2007"
"LTER5","2008"
"LTER5","2009"
"LTER5","2010"
"LTER5","2011"
"LTER5","2012"
"LTER5","2013"
"LTER5","2014"
"LTER5","2015"
"LTER5","2016"
"LTER5","2017"
"LTER5","2018"
"LTER5","2019"
"LTER5","2020"
"LTER5","2021"
"LTER5","2022"
"LTER5","2023"
"LTER5","2024"
"LTER5","2006"
"LTER5","2007"
"LTER5","2008"
"LTER5","2009"
"LTER5","2010"
"LTER5","2011"
"LTER5","2012"
"LTER5","2013"
"LTER5","2014"
"LTER5","2015"
"LTER5","2016"
"LTER5","2017"
"LTER5","2018"
"LTER5","2019"
"LTER5","2020"
"LTER5","2021"
"LTER5","2022"
"LTER5","2023"
"LTER5","2024"
"LTER6","2006"
"LTER6","2007"
"LTER6","2008"
"LTER6","2009"
"LTER6","2010"
"LTER6","2011"
"LTER6","2012"
"LTER6","2013"
"LTER6","2014"
"LTER6","2015"
"LTER6","2016"
"LTER6","2017"
"LTER6","2018"
"LTER6","2019"
"LTER6","2020"
"LTER6","2021"
"LTER6","2022"
"LTER6","2023"
"LTER6","2024"
"LTER6","2006"
"LTER6","2007"
"LTER6","2008"
"LTER6","2009"
"LTER6","2010"
"LTER6","2011"
"LTER6","2012"
"LTER6","2013"
"LTER6","2014"
"LTER6","2015"
"LTER6","2016"
"LTER6","2017"
"LTER6","2018"
"LTER6","2019"
"LTER6","2020"
"LTER6","2021"
"LTER6","2022"
"LTER6","2023"
"LTER6","2024"
"LTER6","2006"
"LTER6","2007"
"LTER6","2008"
"LTER6","2009"
"LTER6","2010"
"LTER6","2011"
"LTER6","2012"
"LTER6","2013"
"LTER6","2014"
"LTER6","2015"
"LTER6","2016"
"LTER6","2017"
"LTER6","2018"
"LTER6","2019"
"LTER6","2020"
"LTER6","2021"
"LTER6","2022"
"LTER6","2023"
"LTER6","2024"
